Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Delays
1994,10,5,3,955,955,1022,1008,HP,87,73,0,14,0,ABQ,PHX,328,1
1994,6,23,4,2019,1950,2019,1945,WN,60,55,0,34,29,DTW,MDW,229,1
1994,11,18,5,1819,1815,2117,2120,DL,238,245,0,-3,4,JFK,DFW,1391,1
1994,6,25,6,1906,1900,2053,2045,WN,107,105,0,8,6,HOU,BNA,670,1
1994,10,20,4,958,957,1057,1103,AA,119,126,0,-6,1,PHL,ORD,678,1
1994,1,4,2,1047,1001,1236,1140,TW,109,99,0,56,46,ATL,PBI,545,1
1994,9,25,7,1733,1730,1850,1855,US,77,85,0,-5,3,CLE,LGA,418,1
1994,11,19,6,1009,1010,1222,1233,US,133,143,0,-11,-1,BWI,TPA,842,0
1994,7,7,4,1856,1845,2020,2003,TW,84,78,0,17,11,STL,OMA,342,1
1994,2,15,2,657,700,846,854,UA,109,114,0,-8,-3,BHM,ORD,584,0
1994,5,12,4,752,755,946,949,NW,114,114,0,-3,-3,EWR,DTW,487,0
1994,9,2,5,1359,1402,1435,1447,TW,36,45,0,-12,-3,BWI,ABE,121,0
1994,10,28,5,1233,1230,1338,1336,UA,65,66,0,2,3,SFO,BUR,326,1
1994,5,12,4,1953,1955,2214,2223,NW,81,88,0,-9,-2,BNA,DTW,457,0
1994,6,9,4,740,740,855,900,US,75,80,0,-5,0,RDU,PIT,328,0
1994,7,18,1,1719,1720,609,612,UA,470,472,0,-3,-1,HNL,ORD,4243,0
1994,12,16,5,1030,1005,1309,1256,NW,159,171,0,13,25,PBI,DTW,1087,1
1994,7,22,5,1835,1830,1959,1950,UA,84,80,0,9,5,SFO,LAX,337,1
1994,6,21,2,633,630,830,819,NW,117,109,0,11,3,ORF,DTW,529,1
1994,8,8,1,2042,2046,2221,2230,DL,99,104,0,-9,-4,DFW,HSV,603,0
1994,1,2,7,945,945,1313,1310,WN,148,145,0,3,0,PHX,MCI,1044,1
1994,3,3,4,1257,1300,1340,1346,TW,43,46,0,-6,-3,AUS,HOU,148,0
1994,3,21,1,832,830,949,958,US,77,88,0,-9,2,BOS,PHL,280,1
1994,2,7,1,1839,1840,2114,2110,CO,155,150,0,4,-1,PBI,CLE,1020,1
1994,9,29,4,654,655,814,822,CO,80,87,0,-8,-1,TUL,IAH,429,0
1994,1,8,6,1824,1810,1857,1849,US,33,39,0,8,14,CLT,GSO,83,1
1994,8,2,2,2001,2000,2123,2126,UA,82,86,0,-3,1,SFO,LAX,337,1
1994,3,21,1,1546,1540,1929,1934,CO,163,174,0,-5,6,IAH,DCA,1208,1
1994,5,29,7,1703,1705,1829,1815,CO,86,70,0,14,-2,MCO,CHS,317,1
1994,11,11,5,740,725,935,910,DL,55,45,0,25,15,HSV,ATL,151,1
1994,1,28,5,934,935,1125,1145,AA,231,250,0,-20,-1,DFW,PDX,1616,0
1994,2,13,7,1319,1310,1620,1602,CO,121,112,0,18,9,IAH,ATL,689,1
1994,10,4,2,835,835,939,940,WN,64,65,0,-1,0,MSY,HOU,303,0
1994,8,16,2,1330,1330,1435,1430,WN,65,60,0,5,0,MSY,HOU,303,1
1994,10,20,4,2033,2035,2135,2144,NW,62,69,0,-9,-2,DTW,CVG,229,0
1994,7,7,4,1420,1400,1509,1456,US,49,56,0,13,20,CLT,SAV,213,1
1994,11,25,5,2126,2110,102,100,CO,156,170,0,2,16,IAH,BWI,1235,1
1994,12,9,5,1916,1915,2205,2203,UA,169,168,0,2,1,ORD,AUS,978,1
1994,9,10,6,1252,1255,1543,1545,NW,171,170,0,-2,-3,RSW,DTW,1085,0
1994,4,23,6,1707,1645,1748,1740,US,41,55,0,8,22,CLT,SAV,213,1
1994,11,23,3,549,550,642,650,NW,53,60,0,-8,-1,GFK,MSP,284,0
1994,5,13,5,928,929,1104,1108,AA,156,159,0,-4,-1,TPA,ORD,1012,0
1994,1,5,3,648,650,1105,1104,AA,197,194,0,1,-2,DFW,EWR,1372,1
1994,11,17,4,1425,1425,1602,1555,CO,217,210,0,7,0,IAH,SAN,1303,1
1994,1,3,1,1615,1610,1915,1910,CO,240,240,0,5,5,STX,EWR,1679,1
1994,6,24,5,1859,1850,2053,2045,AA,114,115,0,8,9,BNA,DFW,631,1
1994,1,13,4,923,925,1101,1108,NW,98,103,0,-7,-2,MEM,HOU,484,0
1994,5,8,7,2040,2040,2202,2206,DL,82,86,0,-4,0,MSY,DFW,448,0
1994,6,22,3,925,920,1005,1005,NW,40,45,0,0,5,DTW,AZO,113,1
1994,11,16,3,1141,1130,1326,1309,UA,165,159,0,17,11,DEN,SFO,967,1
1994,1,29,6,800,800,855,855,WN,55,55,0,0,0,BUR,LAS,223,0
